Potential (V);ic (A);if (A) 
0.5025;0.8;0.05775267823627523
0.5050000000000001;0.8;0.05760415777509232
0.5075000000000001;0.8;0.057456802246531435
0.5100000000000002;0.8;0.05731059597481939
0.5125;0.8;0.05716552359109106
0.5150000000000001;0.8;0.05702157002540835
0.5175000000000001;0.8;0.05687872049902491
0.52;0.8;0.056736960516910115
0.5225000000000002;0.8;0.05659627586050165
0.5249999999999999;0.8;0.056456652580690575
0.5275000000000001;0.8;0.0563180769910305
0.53;0.8;0.05618053566115016
0.5325000000000002;0.8;0.05604401541038262
0.5350000000000001;0.8;0.05590850330158115
0.5375000000000001;0.8;0.05577398663513311
0.54;0.8;0.05564045294315239
0.5425;0.8;0.05550788998385005
0.5450000000000002;0.8;0.05537628573607684
0.5475000000000001;0.8;0.05524562839402692
0.55;0.8;0.05511590636210446
0.5475;0.6119950441353501;0.049881979132991375
0.5449999999999999;0.4460812529142435;0.0497658660026706
0.5425;0.2996628460655497;0.04965058134900379
0.5399999999999999;0.1704490555402065;0.049536105012479875
0.5375000000000001;0.056418285630384424;0.04942242347461489
0.535;-0.04421351561437781;0.049309525226420736
0.5325;-0.13302076851438893;0.04919739967422949
0.5299999999999999;-0.2113928941256955;0.049086036748622164
0.5274999999999999;-0.28055605222664415;0.04897542673109986
0.525;-0.34159232502369585;0.04886556016520798
0.5225;-0.3954566467124064;0.048756427805688715
0.52;-0.44299174376251355;0.04864802058669565
0.5175;-0.48494131967329124;0.048540329600366645
0.5149999999999999;-0.5219616904792899;0.048433346081408646
0.5125000000000001;-0.5546320530481145;0.04832706139534489
0.51;-0.5834635468214201;0.048221467029099144
0.5075;-0.6089072507732494;0.048116554583122174
0.5049999999999999;-0.631361240701018;0.0480123157645611
0.5025;-0.6511768172629395;0.04790874238115897
0.5;-0.6686640022017619;0.047805826335667004
0.4975;-0.6840963887451978;0.04770355962062855
0.495;-0.6977154220692683;0.04760193431342646
0.49249999999999994;-0.7097341767939568;0.04750094257152463
0.4899999999999999;-0.7203406906114183;0.04740057662784443
0.48750000000000004;-0.7297009062025481;0.04730082878623581
0.485;-0.737961267469245;0.04720169141700971
0.4825;-0.7452510107013346;0.047103156952505484
0.4799999999999999;-0.7516841865242907;0.047005217882668766
0.4774999999999999;-0.7573614442618316;0.04690786675062632
0.47500000000000003;-0.7623716066303855;0.04681109614823604
0.47250000000000003;-0.7667930594020805;0.046714898711602545
0.47;-0.7706949777780254;0.04661926711654185
0.4674999999999999;-0.7741384086589348;0.04652419407398518
0.4649999999999999;-0.7771772257456014;0.0464296723253086
0.4625;-0.7798589724121057;0.04633569463757886
0.46;-0.7822256055388124;0.046242253798703545
0.45749999999999996;-0.7843141519426852;0.046149342612476295
0.45499999999999996;-0.7861572876750071;0.04605695389350264
0.4524999999999999;-0.7877838492498241;0.0459650804620011
0.45000000000000007;-0.7892192848014633;0.04587371513846373
0.4475;-0.7904860522296447;0.045782850738166014
0.44499999999999995;-0.7916039705613098;0.04569248006551903
0.44249999999999995;-0.7925905300263469;0.04560259590824303
0.4399999999999999;-0.7934611656984576;0.04551319103135868
0.43750000000000006;-0.7942294989823748;0.045424258170979795
0.435;-0.7949075507255846;0.04533579002789187
0.4325;-0.7955059292887593;0.04524777926090914
0.42999999999999994;-0.7960339965173339;0.0451602184799872
0.4274999999999999;-0.7965000142109074;0.04507310023908489
0.42500000000000004;-0.7969112733820357;0.04498641702875304
0.4225;-0.7972742083267159;0.044900161268436364
0.41999999999999993;-0.7975944972912359;0.04481432529847415
0.4174999999999999;-0.7978771513103569;0.044728901371774404
0.4149999999999999;-0.7981265926067341;0.04464388164515004
0.41250000000000003;-0.7983467237781638;0.04455925817029308
0.41000000000000003;-0.7985409888551128;0.044475022884366916
0.4075;-0.7987124271838006;0.04439116760019591
0.4049999999999999;-0.798863720977852;0.04430768399602634
0.40249999999999986;-0.7989972372824825;0.044224563604838195
0.4;-0.7991150650077635;0.04414179780317926
0.39749999999999996;-0.7992190476103626;0.044059377799495224
0.39499999999999996;-0.7993108119350789;0.043977294621930806
0.39249999999999996;-0.7993917936674089;0.04389553910556476
0.3899999999999999;-0.799463259795356;0.04381410187905511
0.38750000000000007;-0.7995263284319091;0.04373297335065698
0.385;-0.7995819863083173;0.04365214369357695
0.38249999999999995;-0.7996311042118521;0.04357160283063289
0.3799999999999999;-0.799674450609583;0.0434913404181712
0.3774999999999999;-0.7997127036713187;0.04341134582920833
0.375;-0.7997464618798148;0.043331608135747796
0.3725;-0.7997762533942495;0.04325211609022886
0.37;-0.7998025443134613;0.04317285810605669
0.36749999999999994;-0.799825745968232;0.04309382223716295
0.3649999999999999;-0.7998462213567018;0.043014996156541495
0.36250000000000004;-0.7998642908236057;0.04293636713370148
0.36;-0.7998802370721797;0.0428579220109757
0.35749999999999993;-0.7998943095871541;0.042779647178621275
0.3549999999999999;-0.7999067285380307;0.04270152854863844
0.3524999999999999;-0.7999176882237126;0.0426235515272396
0.35000000000000003;-0.7999273601123801;0.042545700985887294
0.34750000000000003;-0.7999358955241713;0.04246796123081919
0.345;-0.7999434279986394;0.04239031597097216
0.3424999999999999;-0.7999500753840263;0.04231274828421186
0.33999999999999986;-0.7999559416810404;0.04223524058176782
0.3375;-0.7999611186699851;0.04215777457076932
0.33499999999999996;-0.7999656873466935;0.04208033121476725
0.33249999999999996;-0.7999697191897376;0.04200289069212624
0.32999999999999996;-0.7999732772787357;0.04192543235215171
0.3274999999999999;-0.7999764172812556;0.04184793466882393
0.32500000000000007;-0.7999791883237536;0.04177037519198742
0.3225;-0.799981633760175;0.041692730495841705
0.31999999999999995;-0.7999837918502423;0.0416149761245717
0.3174999999999999;-0.7999856963580422;0.04153708653493276
0.3149999999999999;-0.7999873770802766;0.041459035035608494
0.3125;-0.7999888603124424;0.041380793723134496
0.31;-0.7999901692602347;0.04130233341417189
0.3075;-0.799991324402607;0.0412236235739007
0.30499999999999994;-0.7999923438121727;0.04114463224028034
0.3024999999999999;-0.7999932434379567;0.04106532594391502
0.30000000000000004;-0.7999940373549247;0.04098566962323592
0.2975;-0.7999947379841899;0.04090562653469263
0.295;-0.7999953562873462;0.04082515815762966
0.2924999999999999;-0.7999959019379665;0.04074422409348629
0.28999999999999987;-0.7999963834729489;0.0406627819589487
0.28750000000000003;-0.7999968084260792;0.040580787272639626
0.285;-0.7999971834459005;0.04049819333490885
0.2825;-0.7999975143997313;0.040414951100254025
0.2799999999999999;-0.7999978064654618;0.040331009041856235
0.2774999999999999;-0.7999980642125644;0.040246313007690354
0.275;-0.7999982916735839;0.04016080606761296
